pin,slack
top_sb_0/MSS_SMC_0/WDATA_reg[52]:ALn,16494
top_sb_0/MSS_SMC_0/WDATA_reg[52]:CLK,15270
top_sb_0/MSS_SMC_0/WDATA_reg[52]:D,15663
top_sb_0/MSS_SMC_0/WDATA_reg[52]:EN,15606
top_sb_0/MSS_SMC_0/WDATA_reg[52]:Q,15270
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/m_shift[3]:ALn,16494
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/m_shift[3]:CLK,18655
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/m_shift[3]:D,18655
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/m_shift[3]:EN,17151
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/m_shift[3]:Q,18655
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIUNV54[0]:A,17637
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIUNV54[0]:B,17053
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIUNV54[0]:C,15472
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIUNV54[0]:D,10068
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIUNV54[0]:Y,10068
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_52:IPA,
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_52:IPB,
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/latchahbcmd_xhdl34_1_iv_0:A,16412
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/latchahbcmd_xhdl34_1_iv_0:B,16297
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/latchahbcmd_xhdl34_1_iv_0:C,1585
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/latchahbcmd_xhdl34_1_iv_0:D,1456
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/latchahbcmd_xhdl34_1_iv_0:Y,1456
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rc_p.un72_rw_1.N_395_i:A,15019
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rc_p.un72_rw_1.N_395_i:B,16329
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rc_p.un72_rw_1.N_395_i:C,16159
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rc_p.un72_rw_1.N_395_i:Y,15019
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.WDATA_S[48]:ALn,16494
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.WDATA_S[48]:CLK,14229
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.WDATA_S[48]:D,18655
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.WDATA_S[48]:EN,13991
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.WDATA_S[48]:Q,14229
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.WDATA_S[48]:SLn,9261
top_sb_0/MSS_SMC_0/un7_a3[1]:A,13026
top_sb_0/MSS_SMC_0/un7_a3[1]:B,15338
top_sb_0/MSS_SMC_0/un7_a3[1]:Y,13026
top_sb_0/top_sb_MSS_0/SPI_0_CLK_PAD/U_IOPAD:D,
top_sb_0/top_sb_MSS_0/SPI_0_CLK_PAD/U_IOPAD:E,
top_sb_0/top_sb_MSS_0/SPI_0_CLK_PAD/U_IOPAD:PAD,
top_sb_0/top_sb_MSS_0/SPI_0_CLK_PAD/U_IOPAD:Y,
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.AWADDR_S[23]:ALn,16494
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.AWADDR_S[23]:CLK,14263
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.AWADDR_S[23]:D,18655
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.AWADDR_S[23]:Q,14263
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.AWADDR_S[23]:SLn,16844
top_sb_0/MSS_SMC_0/raddr_reg_2_sqmuxa_i_0_m2_RNIU6PJ:A,9863
top_sb_0/MSS_SMC_0/raddr_reg_2_sqmuxa_i_0_m2_RNIU6PJ:B,7275
top_sb_0/MSS_SMC_0/raddr_reg_2_sqmuxa_i_0_m2_RNIU6PJ:C,11202
top_sb_0/MSS_SMC_0/raddr_reg_2_sqmuxa_i_0_m2_RNIU6PJ:D,9981
top_sb_0/MSS_SMC_0/raddr_reg_2_sqmuxa_i_0_m2_RNIU6PJ:Y,7275
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/un13_writefull_0_I_93_FCINST1:CO,13225
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/un13_writefull_0_I_93_FCINST1:FCI,13225
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[56]:ALn,16494
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[56]:CLK,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[56]:D,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[56]:Q,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[56]:SLn,16176
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_a5_0[13]:A,16390
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_a5_0[13]:B,16307
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_a5_0[13]:C,14954
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_a5_0[13]:D,12412
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_a5_0[13]:Y,12412
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/U_RDCH_RAM/mem1_mem1_0_1/FF_23:IPENn,
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/un1_burstcount_reg_1[4]:A,10575
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/un1_burstcount_reg_1[4]:B,11636
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/un1_burstcount_reg_1[4]:Y,10575
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/fifo_rd_en_xhdl40_1_0_a2_RNO:A,10700
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/fifo_rd_en_xhdl40_1_0_a2_RNO:B,10575
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/fifo_rd_en_xhdl40_1_0_a2_RNO:C,9188
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/fifo_rd_en_xhdl40_1_0_a2_RNO:D,6730
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/fifo_rd_en_xhdl40_1_0_a2_RNO:Y,6730
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem2_mem2_0_0/CFG_14:B,18727
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem2_mem2_0_0/CFG_14:C,18700
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem2_mem2_0_0/CFG_14:IPB,18727
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem2_mem2_0_0/CFG_14:IPC,18700
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/dqm:A,17645
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/dqm:B,17545
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/dqm:Y,17545
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.ARADDR_M_INPFF1[11]:ALn,16494
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.ARADDR_M_INPFF1[11]:CLK,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.ARADDR_M_INPFF1[11]:D,18647
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.ARADDR_M_INPFF1[11]:EN,16147
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.ARADDR_M_INPFF1[11]:Q,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM[0]:ALn,16494
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM[0]:CLK,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM[0]:D,14860
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM[0]:Q,18655
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/waddr_gray[3]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/waddr_gray[3]:CLK,18655
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/waddr_gray[3]:D,16153
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/waddr_gray[3]:Q,18655
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIQ66F4[0]:A,5219
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIQ66F4[0]:B,5035
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIQ66F4[0]:C,3104
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIQ66F4[0]:D,-2358
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIQ66F4[0]:Y,-2358
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/current_state_RNO_2[6]:A,14345
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/current_state_RNO_2[6]:B,14149
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/current_state_RNO_2[6]:C,15272
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/current_state_RNO_2[6]:D,15153
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/current_state_RNO_2[6]:Y,14149
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_40:A,6945
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_40:B,14673
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_40:C,6818
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_40:Y,6818
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/PREGATEDHADDR[30]:A,-318
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/PREGATEDHADDR[30]:B,-2286
