Altium Designer Pick and Place Locations
C:\Users\lirmm2\Desktop\GitHub\HARSH\hardware\Output_files\ASSEMBLY_Pick Place\Pick and Place.txt

========================================================================================================================
File Design Information:

Date:       27/04/20
Time:       20:30
Revision:   b08dad6dc8e34382ab80bf6837f7081de1b101ca
Variant:    No variations
Units used: mil

Designator Comment                    Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                          
L1         DONE_IND_2.2uH             BottomLayer DONE_IND_2.2uH                508.858       244.095       360      "Inductor Power Chip Shielded Wirewound 2.2uH 20% 1MHz Ferrite 1.8A 0.0588Ohm DCR 1515 T/R"                                          
C3         100nF/50V                  BottomLayer DONE_C0603                    1477.362      1196.850      270      "CAP CER 100nF 50V 0603 10%"                                                                                                         
X2         32.768KHz                  TopLayer    DONE_XTAL                     811.491       1281.496      360      32.768KHz                                                                                                                            
X1         ABM8AIG-12.000MHz-12-D2Z-T TopLayer    DONE_XTAL_ABM8AIG             1199.803      1365.157      90       "Crystals 12MHz 12pF 20ppm ESR 100 -40C +85C"                                                                                        
U14        LTC4361ITS8-1#TRMPBF       BottomLayer DONE_TSOT_23_8                2370.079      483.661       270      "Overvoltage / Overcurrent Protection Controller, 2.5 to 80 V Vin, 8-pin SOT23 (TS8-8), -40 to 85 degC, Pb-Free, Mini Tape and Reel" 
U13        SI1416EDH-T1-GE3           BottomLayer DONE_SOT363_6                 2376.968      321.851       90       "MOSFET 30V Vds 12V Vgs SC70-6 SOT-363-6"                                                                                            
U12        LTC4361ITS8-1#TRMPBF       BottomLayer DONE_TSOT_23_8                2370.079      903.543       270      "Overvoltage / Overcurrent Protection Controller, 2.5 to 80 V Vin, 8-pin SOT23 (TS8-8), -40 to 85 degC, Pb-Free, Mini Tape and Reel" 
U11        SI1416EDH-T1-GE3           BottomLayer DONE_SOT363_6                 2376.969      745.079       90       "MOSFET 30V Vds 12V Vgs SC70-6 SOT-363-6"                                                                                            
U10        LTC4361ITS8-1#TRMPBF       BottomLayer DONE_TSOT_23_8                2370.079      1297.244      270      "Overvoltage / Overcurrent Protection Controller, 2.5 to 80 V Vin, 8-pin SOT23 (TS8-8), -40 to 85 degC, Pb-Free, Mini Tape and Reel" 
U9         SI1416EDH-T1-GE3           BottomLayer DONE_SOT363_6                 2376.969      1138.780      90       "MOSFET 30V Vds 12V Vgs SC70-6 SOT-363-6"                                                                                            
U8         LTC4361ITS8-1#TRMPBF       TopLayer    DONE_TSOT_23_8                439.960       407.480       270      "Overvoltage / Overcurrent Protection Controller, 2.5 to 80 V Vin, 8-pin SOT23 (TS8-8), -40 to 85 degC, Pb-Free, Mini Tape and Reel" 
U7         SI1416EDH-T1-GE3           TopLayer    DONE_SOT363_6                 428.149       248.031       90       "MOSFET 30V Vds 12V Vgs SC70-6 SOT-363-6"                                                                                            
U6         TLV62565DBVR               BottomLayer DONE_SOT23_5                  410.433       481.299       180      "IC REG BUCK ADJ 1.5A SOT23-5"                                                                                                       
U5         M2S010-VF400               TopLayer    DONE_MCSM_VF_400              949.803       856.299       90       "SmartFusion2 SoC FPGA, ARM Cortex-M3, 10 K LUTs, 195 User I/O, Design Security, 0 to 85 degC, 400-Ball BGA"                         
U4         IS42S16320F-7TLI           TopLayer    DONE_ISSI_MEM_TSOP_54         1818.686      300.689       90       "DRAM 512M, 3.3V, SDRAM, 32Mx16, 143MHz, 54 pin TSOP II"                                                                             
U3         IS42S16320D-7TLI           TopLayer    DONE_ISSI_MEM_TSOP_54         1818.686      854.539       90       "DRAM 512M, 3.3V, SDRAM, 32Mx16, 143MHz, 54 pin TSOP II"                                                                             
U2         IS42S16320B-6TLI           TopLayer    DONE_ISSI_MEM_TSOP_54         1818.686      1408.672      90       "DRAM 512M, 3.3V, SDRAM, 32Mx16, 143MHz, 54 pin TSOP II"                                                                             
U1         TCAN332DCNR                BottomLayer DONE_TSOT_23_8                398.622       1252.953      90       "Tranceiver CAN, 8-pin SOT23"                                                                                                        
Rs4        0.1                        BottomLayer DONE_R0603                    2454.724      394.193       90       "RES 100 OHM 1% 1/8W 0603"                                                                                                           
Rs3        0.1                        BottomLayer DONE_R0603                    2454.724      814.469       90       "RES 100 OHM 1% 1/8W 0603"                                                                                                           
Rs2        0.1                        BottomLayer DONE_R0603                    2454.724      1209.153      90       "RES 100 OHM 1% 1/8W 0603"                                                                                                           
Rs1        0.05R                      TopLayer    DONE_R0603                    332.677       304.626       90       "RES 0.05 OHM 1% 1/3W 0603"                                                                                                          
R18        1K                         BottomLayer DONE_R0603                    876.476       1296.260      180      "RES SMD 1K OHM 1% 1/4W 0603"                                                                                                        
R17        100k                       BottomLayer DONE_R0805                    2267.717      485.236       270      "RES 100K OHM 1/8W 1% 0805"                                                                                                          
R16        1K                         TopLayer    DONE_R0603                    2412.402      480.807       90       "RES SMD 1K OHM 1% 1/4W 0603"                                                                                                        
R15        100k                       BottomLayer DONE_R0805                    2267.638      910.021       270      "RES 100K OHM 1/8W 1% 0805"                                                                                                          
R14        1K                         TopLayer    DONE_R0603                    2412.402      915.846       90       "RES SMD 1K OHM 1% 1/4W 0603"                                                                                                        
R13        100k                       BottomLayer DONE_R0805                    2267.717      1297.244      270      "RES 100K OHM 1/8W 1% 0805"                                                                                                          
R12        1K                         TopLayer    DONE_R0603                    2412.402      1387.303      90       "RES SMD 1K OHM 1% 1/4W 0603"                                                                                                        
R11        100k                       TopLayer    DONE_R0805                    570.866       408.464       90       "RES 100K OHM 1/8W 1% 0805"                                                                                                          
R10        1K                         TopLayer    DONE_R0603                    825.769       300.206       90       "RES SMD 1K OHM 1% 1/4W 0603"                                                                                                        
R9         1K                         TopLayer    DONE_R0603                    910.916       300.206       90       "RES SMD 1K OHM 1% 1/4W 0603"                                                                                                        
R8         120k                       BottomLayer DONE_R0603                    398.130       584.646       360      "1/10W 1%  0603"                                                                                                                     
R7         120k                       BottomLayer DONE_R0603                    262.303       520.669       180      "1/10W 1%  0603"                                                                                                                     
R6         10k                        BottomLayer DONE_R0603                    286.417       323.327       90       "1/8W 1%  0603 10K"                                                                                                                  
R5         10k                        TopLayer    DONE_R0603                    1044.927      300.206       270      "1/8W 1%  0603 10K"                                                                                                                  
R4         10k                        BottomLayer DONE_R0603                    1197.835      1350.886      90       "1/8W 1%  0603 10K"                                                                                                                  
R3         1K                         BottomLayer DONE_R0603                    1118.110      1350.886      90       "RES SMD 1K OHM 1% 1/4W 0603"                                                                                                        
R2         1K                         TopLayer    DONE_R0603                    1303.642      1530.767      360      "RES SMD 1K OHM 1% 1/4W 0603"                                                                                                        
R1         120R                       BottomLayer DONE_R0603                    398.130       1400.591      360      "120R 1% 0603"                                                                                                                       
P5         53261-0371                 BottomLayer DONE_PICOBLADE_3H_HORIZONTAL  423.228       1542.323      360      "Picoblade, 3 pos, Right-angle"                                                                                                      
P4         "Header 5H"                TopLayer    DONE_H1X5_PADS                470.079       97.441        180      "Header, 5-Pin, Pads"                                                                                                                
P3         53261-0671                 BottomLayer DONE_PICOBLADE_6H_HORIZONTAL  937.992       1542.323      360      "Picoblade, 6 pos, Right-angle"                                                                                                      
P2         53261-1571                 TopLayer    DONE_PICOBLADE_15H_HORIZONTAL 717.520       1542.323      180      "Picoblade, 15 pos, Right-angle, 53261-1571"                                                                                         
P1         "Header 12H"               TopLayer    DONE_H1X12_PADS               108.268       856.496       270      "Header, 12-Pin"                                                                                                                     
J_V6       0R                         BottomLayer DONE_R0603                    2271.653      326.280       90       "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                                    
J_V5       0R                         BottomLayer DONE_R0603                    2272.638      735.728       90       "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                                    
J_V4       0R                         BottomLayer DONE_R0603                    2272.638      1457.185      90       "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                                    
J_V3       0R                         TopLayer    DONE_R0603                    432.579       598.425       180      "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                                    
J_V2       0R                         TopLayer    DONE_R0603                    322.723       565.306       90       "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                                    
J_V1       0R                         TopLayer    DONE_R0603                    248.904       565.809       90       "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                                    
J_V0       0R                         TopLayer    DONE_R0603                    255.929       303.642       270      "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                                    
FD6        DONE_FIDUCIAL              BottomLayer DONE_FIDUCIAL                 2111.717      1639.764      180      "Fiducial for DB board variants"                                                                                                     
FD5        DONE_FIDUCIAL              BottomLayer DONE_FIDUCIAL                 828.740       97.114        180      "Fiducial for DB board variants"                                                                                                     
FD4        DONE_FIDUCIAL              BottomLayer DONE_FIDUCIAL                 265.218       1119.095      180      "Fiducial for DB board variants"                                                                                                     
FD3        DONE_FIDUCIAL              TopLayer    DONE_FIDUCIAL                 2316.833      1378.937      0        "Fiducial for DB board variants"                                                                                                     
